delta	c	MAP	P30
0.74	3.05	0.2501	0.3072
0.74	3.1	0.2502	0.3074
0.74	3.15	0.2505	0.307
0.74	3.2	0.2506	0.3074
0.74	3.25	0.2506	0.3075
0.74	3.3	0.2506	0.3079
0.74	3.35	0.2508	0.3079
0.74	3.4	0.2508	0.3071
0.74	3.45	0.2509	0.3074
0.74	3.5	0.2511	0.3075
0.74	3.55	0.251	0.3072
0.74	3.6	0.2511	0.3075
0.74	3.65	0.2511	0.3075
0.74	3.7	0.2515	0.308
0.74	3.75	0.2514	0.3079
0.74	3.8	0.2515	0.3082
0.74	3.85	0.2515	0.3084
0.74	3.9	0.2517	0.3083
0.74	3.95	0.2516	0.3086
0.74	4	0.2517	0.3083
0.75	2	0.2464	0.3039
0.75	2.05	0.2466	0.3035
0.75	2.1	0.2469	0.3037
0.75	2.15	0.247	0.304
0.75	2.2	0.2471	0.3036
0.75	2.25	0.2476	0.3043
0.75	2.3	0.2479	0.3044
0.75	2.35	0.2479	0.305
0.75	2.4	0.248	0.3048
0.75	2.45	0.2482	0.3052
0.75	2.5	0.2482	0.3054
0.75	2.55	Evaluation
0.75	2.6	0.2486	0.3063
0.75	2.65	0.2488	0.3062
0.75	2.7	0.2489	0.3066
0.75	2.75	0.2474	0.3043
0.75	2.8	0.2491	0.3068
0.75	2.85	0.2495	0.3064
0.75	2.9	0.2499	0.3064
0.75	2.95	0.2499	0.3074
0.75	3	0.25	0.3072
0.75	3.05	0.2501	0.3072
0.75	3.1	0.2502	0.3074
0.75	3.15	0.2504	0.3068
0.75	3.2	Evaluation
0.75	3.25	0.2506	0.3074
0.75	3.3	0.2506	0.3079
0.75	3.35	0.2508	0.3078
0.75	3.4	0.2509	0.3072
0.75	3.45	0.2509	0.3074
0.75	3.5	0.2511	0.3075
0.75	3.55	0.251	0.3072
0.75	3.6	0.2511	0.3075
0.75	3.65	0.2512	0.3075
0.75	3.7	0.2515	0.3079
0.75	3.75	0.2514	0.308
0.75	3.8	0.2515	0.3082
0.75	3.85	0.2517	0.3084
0.75	3.9	0.2517	0.3084
0.75	3.95	0.2517	0.3086
0.75	4	0.2513	0.3076
0.76	2	0.2459	0.3021
0.76	2.05	0.2466	0.3036
0.76	2.1	0.2469	0.3037
0.76	2.15	0.247	0.3037
0.76	2.2	0.2471	0.3037
0.76	2.25	0.2477	0.3043
0.76	2.3	0.2479	0.3046
0.76	2.35	0.2479	0.305
0.76	2.4	0.248	0.3051
0.76	2.45	0.2482	0.3052
0.76	2.5	0.2483	0.3055
0.76	2.55	0.2485	0.3056
0.76	2.6	Evaluation
0.76	2.65	0.2488	0.3064
0.76	2.7	0.2489	0.3066
0.76	2.75	0.249	0.3066
0.76	2.8	0.2495	0.3068
0.76	2.85	0.2495	0.3064
0.76	2.9	0.2499	0.3067
0.76	2.95	0.2499	0.3074
0.76	3	0.25	0.3072
0.76	3.05	0.2501	0.3072
0.76	3.1	0.2502	0.3074
0.76	3.15	0.2505	0.307
0.76	3.2	0.2506	0.3074
0.76	3.25	0.2506	0.3074
0.76	3.3	0.2507	0.3078
0.76	3.35	0.2508	0.3078
0.76	3.4	0.2458	0.3017
0.76	3.45	0.2509	0.3074
0.76	3.5	0.2511	0.3074
0.76	3.55	0.251	0.3072
0.76	3.6	0.2511	0.3075
0.76	3.65	0.2515	0.3075
0.76	3.7	0.2515	0.308
0.76	3.75	0.2515	0.3079
0.76	3.8	0.2516	0.3082
0.76	3.85	0.2517	0.3084
0.76	3.9	0.2517	0.3084
0.76	3.95	0.2516	0.3084
0.76	4	0.2517	0.3082
0.77	2	Evaluation
0.77	2.05	0.2467	0.3036
0.77	2.1	0.247	0.3039
0.77	2.15	0.247	0.3039
0.77	2.2	0.2471	0.3037
0.77	2.25	0.2476	0.3044
0.77	2.3	0.2479	0.3047
0.77	2.35	0.2479	0.305
0.77	2.4	0.248	0.3052
0.77	2.45	0.2482	0.3052
0.77	2.5	0.2483	0.3058
0.77	2.55	0.2485	0.306
0.77	2.6	0.2487	0.3066
0.77	2.65	0.2488	0.3066
0.77	2.7	0.2489	0.3067
0.77	2.75	0.2489	0.3067
0.77	2.8	0.2495	0.3068
0.77	2.85	0.2496	0.3066
0.77	2.9	0.2499	0.307
0.77	2.95	0.2499	0.3072
0.77	3	0.25	0.3071
0.77	3.05	0.2501	0.3074
0.77	3.1	0.2503	0.3071
0.77	3.15	0.2506	0.3068
0.77	3.2	0.2506	0.3075
0.77	3.25	0.2506	0.3072
0.77	3.3	Evaluation
0.77	3.35	0.2508	0.3079
0.77	3.4	0.2509	0.3071
0.77	3.45	0.2509	0.3074
0.77	3.5	0.2511	0.3074
0.77	3.55	0.251	0.3071
0.77	3.6	0.2511	0.3075
0.77	3.65	0.2515	0.3078
0.77	3.7	0.2515	0.3079
0.77	3.75	0.2515	0.3079
0.77	3.8	0.2516	0.3082
0.77	3.85	0.2517	0.3083
0.77	3.9	0.2517	0.3083
0.77	3.95	0.2516	0.3084
0.77	4	0.2517	0.3083
0.78	2	0.2465	0.3036
0.78	2.05	0.2468	0.3036
0.78	2.1	0.247	0.304
0.78	2.15	0.2471	0.3039
0.78	2.2	0.2472	0.3037
0.78	2.25	0.2477	0.3044
0.78	2.3	0.2478	0.3047
0.78	2.35	0.2479	0.3048
0.78	2.4	0.2481	0.3051
0.78	2.45	0.2482	0.3052
0.78	2.5	0.2483	0.3059
0.78	2.55	0.2486	0.3059
0.78	2.6	0.2487	0.3064
0.78	2.65	0.2487	0.3064
0.78	2.7	0.2489	0.3068
0.78	2.75	0.2489	0.3067
0.78	2.8	0.2496	0.3068
0.78	2.85	0.2496	0.3066
0.78	2.9	0.2499	0.307
0.78	2.95	0.2499	0.3072
0.78	3	0.25	0.3072
0.78	3.05	0.2501	0.3074
0.78	3.1	0.2503	0.307
0.78	3.15	0.2506	0.3071
0.78	3.2	0.2506	0.3075
0.78	3.25	0.2507	0.3074
0.78	3.3	0.2507	0.3078
0.78	3.35	0.2509	0.3076
0.78	3.4	0.2509	0.3071
0.78	3.45	0.2509	0.3071
0.78	3.5	0.2511	0.3072
0.78	3.55	0.2511	0.3074
0.78	3.6	0.2504	0.3059
0.78	3.65	0.2515	0.3076
0.78	3.7	0.2515	0.3079
0.78	3.75	0.2516	0.3079
0.78	3.8	0.2513	0.3075
0.78	3.85	0.2517	0.3083
0.78	3.9	0.2517	0.3083
0.78	3.95	0.2516	0.3084
0.78	4	0.2516	0.3084
0.79	2	0.2466	0.3036
0.79	2.05	0.2468	0.3036
0.79	2.1	0.247	0.3037
0.79	2.15	0.2471	0.3039
0.79	2.2	0.2472	0.3037
0.79	2.25	0.2477	0.3046
0.79	2.3	0.2478	0.3047
0.79	2.35	0.2479	0.3048
0.79	2.4	0.2481	0.3054
0.79	2.45	0.2482	0.3055
0.79	2.5	0.2483	0.3059
0.79	2.55	0.2486	0.306
0.79	2.6	0.2486	0.3066
0.79	2.65	0.2487	0.3066
0.79	2.7	0.249	0.3068
0.79	2.75	0.2494	0.3067
0.79	2.8	0.2496	0.3066
0.79	2.85	0.2496	0.3067
0.79	2.9	0.2494	0.3062
0.79	2.95	0.2499	0.3074
0.79	3	0.25	0.3071
0.79	3.05	0.2487	0.3062
0.79	3.1	0.2502	0.307
0.79	3.15	0.2506	0.307
0.79	3.2	0.2506	0.3074
0.79	3.25	0.2507	0.3072
0.79	3.3	0.2507	0.3076
0.79	3.35	0.2508	0.3076
0.79	3.4	0.2509	0.307
0.79	3.45	0.2509	0.3075
0.79	3.5	0.2511	0.3074
0.79	3.55	0.2508	0.3071
0.79	3.6	0.2515	0.3078
0.79	3.65	0.2515	0.3075
0.79	3.7	0.251	0.3066
0.79	3.75	0.2516	0.3078
0.79	3.8	0.2504	0.306
0.79	3.85	0.2517	0.3084
0.79	3.9	0.2502	0.3067
0.79	3.95	0.2516	0.3086
0.79	4	0.2517	0.3086
0.8	2	0.2466	0.3035
0.8	2.05	0.2468	0.3037
0.8	2.1	0.2471	0.3037
0.8	2.15	0.2471	0.3039
0.8	2.2	0.2472	0.3037
0.8	2.25	0.2477	0.3047
0.8	2.3	0.2478	0.305
0.8	2.35	0.2479	0.3051
0.8	2.4	0.2481	0.3054
0.8	2.45	0.2482	0.3056
0.8	2.5	0.2446	0.3023
0.8	2.55	0.2486	0.3059
0.8	2.6	0.2486	0.3066
0.8	2.65	0.2403	0.3
0.8	2.7	0.2489	0.3068
0.8	2.75	0.2494	0.3067
0.8	2.8	0.2496	0.3067
0.8	2.85	0.2496	0.3067
0.8	2.9	0.2499	0.3066
0.8	2.95	0.2499	0.3072
0.8	3	0.25	0.307
0.8	3.05	0.2501	0.3068
0.8	3.1	0.2503	0.3071
0.8	3.15	0.2506	0.3067
0.8	3.2	0.2505	0.307
0.8	3.25	0.2507	0.3072
0.8	3.3	0.2507	0.3075
0.8	3.35	0.2509	0.3079
0.8	3.4	0.2509	0.3075
0.8	3.45	0.2509	0.3074
0.8	3.5	0.2511	0.3075
0.8	3.55	0.2514	0.3075
0.8	3.6	0.242	0.2957
0.8	3.65	0.2515	0.3074
0.8	3.7	0.2516	0.3078
0.8	3.75	0.2516	0.3078
0.8	3.8	0.2516	0.308
0.8	3.85	0.2514	0.3078
0.8	3.9	0.2517	0.3084
0.8	3.95	Evaluation
0.8	4	0.2517	0.3083
