delta	c	MAP	P30
0.59	2.95	0.2491	0.3068
0.59	3	0.2492	0.3074
0.59	3.05	0.2494	0.3074
0.59	3.1	0.2495	0.3074
0.59	3.15	0.2504	0.307
0.59	3.2	0.2504	0.3075
0.59	3.25	0.2505	0.3076
0.59	3.3	0.2505	0.3083
0.59	3.35	0.2507	0.3086
0.59	3.4	Evaluation
0.59	3.45	0.2508	0.3082
0.59	3.5	0.251	0.3082
0.59	3.55	0.251	0.3079
0.59	3.6	0.2511	0.3082
0.59	3.65	0.2511	0.3083
0.59	3.7	0.2511	0.3086
0.59	3.75	0.2511	0.3086
0.59	3.8	0.2511	0.3088
0.59	3.85	0.2511	0.3088
0.59	3.9	0.2512	0.3087
0.59	3.95	0.2511	0.3087
0.59	4	0.2511	0.3084
0.6	2	Evaluation
0.6	2.05	0.2462	0.3043
0.6	2.1	0.2465	0.3046
0.6	2.15	Evaluation
0.6	2.2	0.2466	0.3041
0.6	2.25	0.2469	0.3046
0.6	2.3	0.2473	0.3047
0.6	2.35	0.2475	0.3052
0.6	2.4	0.2477	0.3055
0.6	2.45	0.2479	0.3058
0.6	2.5	0.248	0.3058
0.6	2.55	0.2483	0.3059
0.6	2.6	0.2483	0.3064
0.6	2.65	0.2474	0.3047
0.6	2.7	0.2487	0.3064
0.6	2.75	0.2487	0.3063
0.6	2.8	0.2488	0.3068
0.6	2.85	0.2488	0.3068
0.6	2.9	0.2491	0.3066
0.6	2.95	0.2492	0.307
0.6	3	0.2492	0.3074
0.6	3.05	0.2493	0.3074
0.6	3.1	0.25	0.3074
0.6	3.15	0.2504	0.3068
0.6	3.2	0.2504	0.3074
0.6	3.25	0.2505	0.3079
0.6	3.3	0.2505	0.3087
0.6	3.35	0.2507	0.3088
0.6	3.4	Evaluation
0.6	3.45	0.2508	0.3083
0.6	3.5	0.2511	0.3078
0.6	3.55	0.2511	0.3078
0.6	3.6	Evaluation
0.6	3.65	0.2511	0.308
0.6	3.7	0.2511	0.3083
0.6	3.75	0.2511	0.3086
0.6	3.8	0.2511	0.3086
0.6	3.85	0.2511	0.3086
0.6	3.9	0.2512	0.3084
0.6	3.95	0.2511	0.3087
0.6	4	0.2512	0.3084
0.61	2	0.246	0.3039
0.61	2.05	0.2462	0.3046
0.61	2.1	0.2465	0.3044
0.61	2.15	0.2465	0.304
0.61	2.2	0.2465	0.3041
0.61	2.25	0.247	0.3046
0.61	2.3	0.2473	0.3046
0.61	2.35	0.2475	0.3054
0.61	2.4	0.2477	0.3055
0.61	2.45	0.2479	0.3056
0.61	2.5	0.248	0.3058
0.61	2.55	0.2482	0.3058
0.61	2.6	0.2483	0.3064
0.61	2.65	0.245	0.3025
0.61	2.7	0.2487	0.3064
0.61	2.75	0.2488	0.3064
0.61	2.8	0.2488	0.3068
0.61	2.85	0.2488	0.3068
0.61	2.9	0.2491	0.3068
0.61	2.95	0.2492	0.3071
0.61	3	0.2493	0.3074
0.61	3.05	0.2494	0.3075
0.61	3.1	0.25	0.3075
0.61	3.15	0.2504	0.307
0.61	3.2	0.2504	0.3075
0.61	3.25	0.2495	0.3068
0.61	3.3	0.2505	0.3087
0.61	3.35	0.2507	0.3092
0.61	3.4	0.2508	0.3084
0.61	3.45	0.2509	0.3084
0.61	3.5	0.2511	0.3078
0.61	3.55	0.2511	0.308
0.61	3.6	0.2511	0.3082
0.61	3.65	0.2511	0.3076
0.61	3.7	0.2511	0.3083
0.61	3.75	0.251	0.3082
0.61	3.8	0.2511	0.3084
0.61	3.85	0.2512	0.3083
0.61	3.9	0.2473	0.3051
0.61	3.95	0.2511	0.3086
0.61	4	0.2515	0.308
0.62	2	0.2461	0.3041
0.62	2.05	0.2448	0.3027
0.62	2.1	Evaluation
0.62	2.15	0.2465	0.304
0.62	2.2	0.2465	0.3041
0.62	2.25	0.2471	0.3043
0.62	2.3	0.2474	0.3047
0.62	2.35	0.2475	0.3052
0.62	2.4	0.2477	0.3052
0.62	2.45	0.2479	0.3055
0.62	2.5	0.248	0.3058
0.62	2.55	0.2483	0.3058
0.62	2.6	0.2484	0.3064
0.62	2.65	0.2485	0.3063
0.62	2.7	0.2487	0.3064
0.62	2.75	0.2487	0.3062
0.62	2.8	0.2488	0.3068
0.62	2.85	0.2488	0.3067
0.62	2.9	0.2492	0.307
0.62	2.95	0.2457	0.3032
0.62	3	0.2493	0.3071
0.62	3.05	Evaluation
0.62	3.1	Evaluation
0.62	3.15	0.2504	0.307
0.62	3.2	0.2504	0.3078
0.62	3.25	0.2505	0.3079
0.62	3.3	0.2506	0.3087
0.62	3.35	0.2507	0.3088
0.62	3.4	Evaluation
0.62	3.45	0.2509	0.3079
0.62	3.5	0.2511	0.3079
0.62	3.55	0.251	0.3079
0.62	3.6	0.2511	0.3078
0.62	3.65	0.2511	0.3078
0.62	3.7	0.2511	0.3083
0.62	3.75	0.2511	0.3083
0.62	3.8	Evaluation
0.62	3.85	0.2512	0.3083
0.62	3.9	0.2512	0.3082
0.62	3.95	0.2511	0.3083
0.62	4	0.2515	0.3079
0.63	2	0.2461	0.3041
0.63	2.05	0.2463	0.3046
0.63	2.1	0.2465	0.3041
0.63	2.15	Evaluation
0.63	2.2	0.2466	0.3041
0.63	2.25	0.2471	0.3046
0.63	2.3	0.2467	0.3044
0.63	2.35	0.2476	0.3052
0.63	2.4	0.2477	0.305
0.63	2.45	0.2479	0.3055
0.63	2.5	0.2481	0.3059
0.63	2.55	0.2483	0.3059
0.63	2.6	0.2484	0.3063
0.63	2.65	0.2486	0.3063
